step,train_loss,val_loss,learning_rate,step_time_ms,tokens_per_sec,data_time_ms,forward_backward_time_ms,optimizer_time_ms,cpu_memory_mb
0,4.299223899841309,,2.1428571428571427e-06,226.92929999902844,9024.83725111199,0.5956000240985304,213.595900015207,12.732100003631786,445.40234375
1,4.330338954925537,,4.2857142857142855e-06,189.2418000206817,10822.13337527005,0.29990001348778605,180.95259999972768,7.984099996974692,478.5703125
2,4.335968971252441,,6.428571428571429e-06,230.50000000512227,8885.032537763507,0.3434999962337315,224.83520000241697,5.318400013493374,478.484375
3,4.342602252960205,,8.571428571428571e-06,231.29039999912493,8854.66928159469,0.3760000108741224,223.48739998415112,7.423999981256202,474.05078125
4,4.332197189331055,,1.0714285714285712e-05,210.57870000367984,9725.580032378448,0.37209998117759824,202.65500000095926,7.547999994130805,474.05078125
5,4.302798271179199,,1.2857142857142857e-05,208.7263000139501,9811.89241539338,0.29070000164210796,204.8957000079099,3.537200012942776,474.05078125
6,4.316720485687256,,1.4999999999999999e-05,210.51770000485703,9728.398134469211,0.2589999930933118,199.94299998506904,10.312300000805408,474.19921875
7,4.355967998504639,,1.7142857142857142e-05,229.6216000104323,8919.021555058209,0.3761999832931906,219.9092000082601,9.332399989943951,474.1640625
8,4.320488452911377,,1.9285714285714285e-05,222.6340000052005,9198.954337397527,0.41229999624192715,214.04650001204573,8.172000001650304,474.109375
9,4.288794994354248,,2.1428571428571425e-05,231.07970002456568,8862.74302667989,0.2610000083222985,222.58299999521114,8.233000000473112,474.109375
10,4.302045822143555,,2.3571428571428568e-05,189.06160001643002,10832.448259308198,0.36130001535639167,183.64560001646169,5.051900021499023,474.1640625
11,4.287249565124512,,2.5714285714285714e-05,191.11739998334087,10715.92644195933,0.27409999165683985,185.2956999791786,5.544699990423396,474.109375
12,4.269145965576172,,2.7857142857142854e-05,187.61940000695176,10915.71553860697,0.2793000021483749,181.13420001463965,6.203299999469891,474.109375
13,4.254527568817139,,2.9999999999999997e-05,212.53600000636652,9636.014604295988,0.426900020102039,206.94460000959225,5.161099979886785,474.0546875
14,4.2649970054626465,,3.214285714285714e-05,213.09679999831133,9610.655814710635,0.3342999843880534,203.8094000017736,8.949800016125664,474.05859375
15,4.265064239501953,,3.4285714285714284e-05,212.78470000834204,9624.752155205284,0.384599989047274,206.5576000022702,5.839899997226894,474.1171875
16,4.257472515106201,,3.6428571428571423e-05,200.08949999464676,10235.419649980597,0.3152000135742128,194.1201000008732,5.6514000170864165,474.0625
17,4.224238872528076,,3.857142857142857e-05,226.18250001687557,9054.635083824778,0.27150000096298754,215.16459999838844,10.742899990873411,474.1796875
18,4.224663734436035,,4.071428571428571e-05,202.56619999418035,10110.27506098667,0.3752000047825277,195.0407999975141,7.1468000242020935,474.0703125
19,4.228067874908447,,4.285714285714285e-05,235.07229998358525,8712.213221817325,0.4488999838940799,227.50430001178756,7.115200016414747,474.0703125
20,4.185677528381348,,4.4999999999999996e-05,190.41849998757243,10755.25749931683,0.3300999815110117,184.0692000114359,6.016200000885874,474.125
21,4.209171772003174,,4.7142857142857136e-05,229.00770002161153,8942.930739039472,0.33340000663883984,218.35370000917464,10.317100008251145,474.046875
22,4.158720016479492,,4.9285714285714276e-05,253.1545000092592,8089.921371830616,0.3939000016544014,244.7637000004761,7.993499981239438,474.1640625
23,4.154055118560791,,5.142857142857143e-05,224.74909998709336,9112.38354288231,0.27329998556524515,215.26300002005883,9.20980001683347,474.0703125
24,4.136401653289795,,5.357142857142857e-05,212.64209999935701,9631.20661433551,0.38070001755841076,206.09650001279078,6.161900004372001,474.0703125
25,4.091396331787109,,5.571428571428571e-05,203.64880000124685,10056.528690507683,0.32890000147745013,196.18100000661798,7.136000000173226,474.0703125
26,4.1103315353393555,,5.7857142857142855e-05,233.27379999682307,8779.382854087735,0.384299986762926,223.31329999724403,9.57249998464249,474.0703125
27,4.072457790374756,,5.9999999999999995e-05,192.3475000075996,10647.395988609594,0.4169000021647662,186.28870000247844,5.638799979351461,474.0703125
28,4.0727338790893555,,6.214285714285714e-05,210.96729999408126,9707.665595840954,0.2919000107795,201.85790001414716,8.814500004518777,474.0703125
29,4.06558084487915,,6.428571428571427e-05,205.65099999657832,9958.619214271144,0.2767000114545226,199.1353000048548,6.236700020963326,474.0703125
30,4.039736747741699,,6.642857142857142e-05,234.02569998870604,8751.175619168474,0.26359999901615083,226.84489999664947,6.914500001585111,474.0703125
31,4.017768859863281,,6.857142857142857e-05,223.08119997614995,9180.513643547532,0.31019997550174594,216.59560000989586,6.172800000058487,474.1796875
32,3.9918222427368164,,7.071428571428571e-05,217.63249998912215,9410.359206930787,0.25370001094415784,211.17100000265054,6.205400015460327,474.1796875
33,3.976412534713745,,7.285714285714285e-05,218.85029997793026,9357.994940863817,0.3273000183980912,215.05439997417852,3.4654999908525497,474.1796875
34,3.9214677810668945,,7.5e-05,237.99259998486377,8605.309577399683,0.2823999966494739,228.72739998274483,8.979299978818744,474.046875
