case_name,case_identity,replicate_count,success_count,failure_count,median_batch_time_ms,median_absolute_deviation_batch_time_ms,coefficient_of_variation_percent,median_tokens_per_second,max_worker_lifetime_peak_rss_mib,peak_rss_scope,stability
char-gpt-b4-t128,a3983e29f10f083090a2b85e7f7718ee3314029f0ebdc639ff9d92d7fceda476,7,7,0,0.0123785,0.00011872500000000182,6.518785370734396,41362039.019267276,218.7421875,worker_lifetime,unstable
char-gpt-b16-t128,783f374257bcca60045b769e81df776716afebd10149afb98ea952df5293ba8c,7,7,0,0.018667955000000003,0.0002946100000000007,2.2133424947496674,109706713.99197179,219.12109375,worker_lifetime,stable
char-gpt-b32-t128,2500fd6af0ffe802773324cce435290755bc05c41c949070e58f19f29cfe3965,7,7,0,0.026737305,0.0011175400000000002,5.523400410484794,153194198.14375457,219.02734375,worker_lifetime,unstable
char-gpt-b16-t256,e5c2524dc7711d9bb236100d2f613cadb5494c09c126f1e0f10b1dd1e6d50c6e,7,7,0,0.01895573,0.0005779500000000007,12.560555402816778,216082419.40563616,218.640625,worker_lifetime,unstable
