case_name,case_identity,replicate_count,success_count,failure_count,median_batch_time_ms,median_absolute_deviation_batch_time_ms,coefficient_of_variation_percent,median_tokens_per_second,max_worker_lifetime_peak_rss_mib,peak_rss_scope,stability
char-gpt-b4-t128,a3983e29f10f083090a2b85e7f7718ee3314029f0ebdc639ff9d92d7fceda476,7,7,0,0.01023239,0.0003168699999999986,5.80967192914903,50037185.83830366,213.97265625,worker_lifetime,unstable
char-gpt-b16-t128,783f374257bcca60045b769e81df776716afebd10149afb98ea952df5293ba8c,7,7,0,0.011197770000000001,8.95049999999984e-05,2.3252938221154396,182893558.27097714,214.12109375,worker_lifetime,stable
char-gpt-b32-t128,2500fd6af0ffe802773324cce435290755bc05c41c949070e58f19f29cfe3965,7,7,0,0.01183003,0.0003466400000000005,7.154256410091402,346237498.975066,213.86328125,worker_lifetime,unstable
char-gpt-b16-t256,e5c2524dc7711d9bb236100d2f613cadb5494c09c126f1e0f10b1dd1e6d50c6e,7,7,0,0.01146681,0.00023643499999999838,5.8944376001778345,357204837.2651156,214.03125,worker_lifetime,unstable
