request_id,status,prompt_tokens,generated_tokens,arrival_time,admission_time,prefill_start_time,first_token_time,finish_time,queue_time_seconds,prefill_latency_seconds,time_to_first_token_seconds,decode_latencies_seconds,time_per_output_token_seconds,end_to_end_latency_seconds,failure_reason
burst-001,finished,"[1,2,3]","[5,14,0,9]",0.0,0.0,1.0,1.001,4.001,0.0,0.001,1.001,"[0.001,0.0010000000000000009,0.0010000000000000009]",0.0010000000000000007,4.001,
burst-002,finished,"[12,13,14,15]","[7,0,16]",0.0,0.0,1.0,1.001,3.001,0.0,0.001,1.001,"[0.001,0.0010000000000000009]",0.0010000000000000005,3.001,
burst-003,finished,"[5,6]","[10,8]",0.0,4.0,5.0,5.001,6.001,4.0,0.0010000000000000009,5.001,[0.0010000000000000009],0.0010000000000000009,6.001,
burst-004,finished,"[14,15,16]","[10,4,4,4]",0.0,5.0,6.0,6.001,9.001,5.0,0.0010000000000000009,6.001,"[0.0010000000000000009,0.0010000000000000009,0.0010000000000000009]",0.0010000000000000009,9.001,
