case_name,case_identity,replicate_count,success_count,failure_count,median_batch_time_ms,median_absolute_deviation_batch_time_ms,coefficient_of_variation_percent,median_tokens_per_second,max_worker_lifetime_peak_rss_mib,peak_rss_scope,stability
char-gpt-b4-t128,a3983e29f10f083090a2b85e7f7718ee3314029f0ebdc639ff9d92d7fceda476,7,7,0,0.014058825,0.0010580599999999996,8.965172407339596,36418406.23238429,221.9609375,worker_lifetime,unstable
char-gpt-b16-t128,783f374257bcca60045b769e81df776716afebd10149afb98ea952df5293ba8c,7,7,0,0.020495580000000003,0.0021877200000000006,10.678826798913853,99923983.6101247,221.97265625,worker_lifetime,unstable
char-gpt-b32-t128,2500fd6af0ffe802773324cce435290755bc05c41c949070e58f19f29cfe3965,7,7,0,0.027124395,0.0006575400000000016,5.64919631531206,151007976.39910492,221.7734375,worker_lifetime,unstable
char-gpt-b16-t256,e5c2524dc7711d9bb236100d2f613cadb5494c09c126f1e0f10b1dd1e6d50c6e,7,7,0,0.0214954,0.001587874999999999,20.394480174658796,190552397.25708756,222.2109375,worker_lifetime,unstable
